C0332239,Young [Temporal Concept],Temporal Concept,C0580836,Old [Temporal Concept],Temporal Concept,"It occurs most commonly inadolescent girls and young women, but adolescent boys andyoung men may also be affected, as may children approachingpuberty and older women up to the menopause."
C0003469,ANXIETY DISORDERS (Anxiety Disorders),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0003469,ANXIETY DISORDERS (Anxiety Disorders),Mental or Behavioral Dysfunction,C0030319,"Disorder, Panic (Panic Disorder)",Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0349231,PHOBIAS (Phobic anxiety disorder),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0031212,PERSONALITY DISORDERS (Personality Disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0033975,Psychotic Disorders,Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0036341,SCHIZOPHRENIA (Schizophrenia),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0028768,OBSESSIVE COMPULSIVE DISORDER (Obsessive-Compulsive Disorder),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0013473,EATING DISORDERS (Eating Disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0030319,"Disorder, Panic (Panic Disorder)",Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0349231,PHOBIAS (Phobic anxiety disorder),Mental or Behavioral Dysfunction,C0031212,PERSONALITY DISORDERS (Personality Disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0349231,PHOBIAS (Phobic anxiety disorder),Mental or Behavioral Dysfunction,C0033975,Psychotic Disorders,Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0349231,PHOBIAS (Phobic anxiety disorder),Mental or Behavioral Dysfunction,C0036341,SCHIZOPHRENIA (Schizophrenia),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0349231,PHOBIAS (Phobic anxiety disorder),Mental or Behavioral Dysfunction,C0028768,OBSESSIVE COMPULSIVE DISORDER (Obsessive-Compulsive Disorder),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0349231,PHOBIAS (Phobic anxiety disorder),Mental or Behavioral Dysfunction,C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0349231,PHOBIAS (Phobic anxiety disorder),Mental or Behavioral Dysfunction,C0013473,EATING DISORDERS (Eating Disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0349231,PHOBIAS (Phobic anxiety disorder),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0349231,PHOBIAS (Phobic anxiety disorder),Mental or Behavioral Dysfunction,C0030319,"Disorder, Panic (Panic Disorder)",Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0031212,PERSONALITY DISORDERS (Personality Disorders),Mental or Behavioral Dysfunction,C0033975,Psychotic Disorders,Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0031212,PERSONALITY DISORDERS (Personality Disorders),Mental or Behavioral Dysfunction,C0036341,SCHIZOPHRENIA (Schizophrenia),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0031212,PERSONALITY DISORDERS (Personality Disorders),Mental or Behavioral Dysfunction,C0028768,OBSESSIVE COMPULSIVE DISORDER (Obsessive-Compulsive Disorder),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0031212,PERSONALITY DISORDERS (Personality Disorders),Mental or Behavioral Dysfunction,C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0031212,PERSONALITY DISORDERS (Personality Disorders),Mental or Behavioral Dysfunction,C0013473,EATING DISORDERS (Eating Disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
